date,calls
2017-02-14,6816
2017-02-15,5868
2017-02-16,7812
2017-02-17,7272
2017-02-18,7464
2017-02-19,5268
2017-02-20,5814
2017-02-21,5820
2017-02-22,7056
2017-02-23,8088
2017-02-24,6696
2017-02-25,5388
2017-02-26,5994
2017-02-27,6822
2017-02-28,7338
2017-03-01,10074
2017-03-02,9246
2017-03-03,8616
2017-03-04,6636
2017-03-05,6288
2017-03-06,8670
2017-03-07,6948
2017-03-08,8700
2017-03-09,9030
2017-03-10,8166
2017-03-11,7548
2017-03-12,6564
2017-03-13,6174
2017-03-14,7188
2017-03-15,7686
2017-03-16,6942
2017-03-17,5724
2017-03-18,7620
2017-03-19,6066
2017-03-20,6486
2017-03-21,8352
2017-03-22,8412
2017-03-23,7170
2017-03-24,6918
2017-03-25,6636
2017-03-26,6756
2017-03-27,8856
2017-03-28,8688
2017-03-29,8112
2017-03-30,7728
2017-03-31,8394
2017-04-01,9774
2017-04-02,6630
2017-04-03,10170
2017-04-04,9324
2017-04-05,7770
2017-04-06,7284
2017-04-07,8970
2017-04-08,8844
2017-04-09,6084
2017-04-10,9300
2017-04-11,7962
2017-04-12,8466
2017-04-13,6360
2017-04-14,8220
2017-04-15,6876
2017-04-16,7086
2017-04-17,9048
2017-04-18,7932
2017-04-19,8574
2017-04-20,8016
2017-04-21,8400
2017-04-22,8478
2017-04-23,7194
2017-04-24,8184
2017-04-25,8352
2017-04-26,8874
2017-04-27,7368
2017-04-28,7230
2017-04-29,6468
2017-04-30,6984
2017-05-01,10218
2017-05-02,8376
2017-05-03,10050
2017-05-04,9582
2017-05-05,7140
2017-05-06,9270
2017-05-07,6966
2017-05-08,8616
2017-05-09,9444
2017-05-10,9066
2017-05-11,8862
2017-05-12,9420
2017-05-13,7914
2017-05-14,8592
2017-05-15,8256
2017-05-16,8178
2017-05-17,6876
2017-05-18,7242
2017-05-19,7746
2017-05-20,6534
2017-05-21,6066
2017-05-22,8766
2017-05-23,9606
2017-05-24,8142
2017-05-25,6750
2017-05-26,7062
2017-05-27,7290
2017-05-28,8538
2017-05-29,8112
2017-05-30,7098
2017-05-31,9294
2017-06-01,10830
2017-06-02,9840
2017-06-03,7296
2017-06-04,8136
2017-06-05,9876
2017-06-06,8268
2017-06-07,9630
2017-06-08,9186
2017-06-09,6924
2017-06-10,9312
2017-06-11,7812
2017-06-12,9174
2017-06-13,9852
2017-06-14,8376
2017-06-15,7452
2017-06-16,7728
2017-06-17,7596
2017-06-18,6540
2017-06-19,8370
2017-06-20,8490
2017-06-21,8892
2017-06-22,8598
2017-06-23,6942
2017-06-24,7662
2017-06-25,6054
2017-06-26,7620
2017-06-27,7764
2017-06-28,8040
2017-06-29,8160
2017-06-30,9060
2017-07-01,8352
2017-07-02,7860
2017-07-03,8802
2017-07-04,9228
2017-07-05,10398
2017-07-06,7578
2017-07-07,7314
2017-07-08,7398
2017-07-09,7878
2017-07-10,7200
2017-07-11,7872
2017-07-12,7524
2017-07-13,6960
2017-07-14,9354
2017-07-15,8808
2017-07-16,8982
2017-07-17,9336
2017-07-18,9624
2017-07-19,9534
2017-07-20,7152
2017-07-21,8052
2017-07-22,8190
2017-07-23,7686
2017-07-24,7530
2017-07-25,8400
2017-07-26,7956
2017-07-27,8400
2017-07-28,7104
2017-07-29,8724
2017-07-30,6324
2017-07-31,7818
2017-08-01,10476
2017-08-02,10068
2017-08-03,9372
2017-08-04,7506
