date,n_duty,calls_new,sby_need_predicted
2019-07-11,1900,9157.772480778905,201.0
2019-07-12,1900,9100.584601544846,198.0
2019-07-13,1900,8933.589829173276,188.0
2019-07-14,1900,8616.968741095521,170.0
2019-07-15,1900,9235.30048249255,206.0
2019-07-16,1900,9329.667623512352,211.0
2019-07-17,1900,9093.196231605634,197.0
2019-07-18,1900,8948.636388660001,189.0
2019-07-19,1900,8679.739478685266,174.0
2019-07-20,1900,8328.989489376982,153.0
2019-07-21,1900,8095.218598504161,140.0
2019-07-22,1900,8708.745680974387,175.0
2019-07-23,1900,8819.4604602861,182.0
2019-07-24,1900,8673.560100784189,173.0
2019-07-25,1900,8566.636848472639,167.0
2019-07-26,1900,8343.74107462375,154.0
2019-07-27,1900,8074.201759023526,139.0
2019-07-28,1900,7941.331923498066,131.0
2019-07-29,1900,8555.826593603668,166.0
2019-07-30,1900,8606.496436308771,169.0
2019-07-31,1900,8489.47994082689,163.0
